achartengine-1.2.0,org/achartengine
com.android.support.support-v4.23.2.1,android/support/v4
com.android.support.support-v4.23.3.0,android/support/v4
com.android.support.support-v4.23.4.0,android/support/v4
com.android.support.support-v4.24.0.0,android/support/v4
com.android.support.support-v4.24.0.0-beta1,android/support/v4
com.android.support.support-vector-drawable.23.2.0,android/support/support/graphics/drawable
com.android.support.support-vector-drawable.23.2.1,android/support/support/graphics/drawable
com.android.support.support-vector-drawable.23.3.0,android/support/support/graphics/drawable
com.android.support.support-vector-drawable.23.4.0,android/support/support/graphics/drawable
com.android.support.support-vector-drawable.24.0.0,android/support/support/graphics/drawable
com.android.support.support-vector-drawable.24.0.0-beta1,android/support/support/graphics/drawable
com.balysv.material-ripple.1.0.2,com/balysv/materialripple
com.bignerdranch.android.recyclerview-multiselect.0.2,com/bignerdranch/android/recyclerview
com.cocosw.bottomsheet.1.3.0,com/cocosw/bottomsheet
com.commit451.bypasses.1.0.1,in/uncod/android/bypass
com.commit451.PhotoView.1.2.4,uk/co/senab/photoview
com.commit451.PhotoView.1.2.5,uk/co/senab/photoview
com.davemorrissey.labs.subsampling-scale-image-view.3.4.1,com/davemorrissey/labs/subscaleview
com.davemorrissey.labs.subsampling-scale-image-view.3.5.0,com/davemorrissey/labs/subscaleview
com.dougkeen.bart_33_src.tar.gz.drag-sort-listview-gradle.unspecified,com/mobeta/android/dslv
com.einmalfel.earl.1.1.0,com/einmalfel/earl
com.getbase.floatingactionbutton.1.10.0,com/getbase/floatingactionbutton
com.getbase.floatingactionbutton.1.9.0,com/getbase/floatingactionbutton
com.getbase.floatingactionbutton.1.9.1,com/getbase/floatingactionbutton
com.github.afollestad.material-dialogs.commons.0.8.5.4,com/afollestad/materialdialogs
com.github.afollestad.material-dialogs.commons.0.8.5.8,com/afollestad/materialdialogs
com.github.afollestad.material-dialogs.core.0.8.5.2,com/afollestad/materialdialogs
com.github.afollestad.material-dialogs.core.0.8.5.3,com/afollestad/materialdialogs
com.github.afollestad.material-dialogs.core.0.8.5.4,com/afollestad/materialdialogs
com.github.afollestad.material-dialogs.core.0.8.5.8,com/afollestad/materialdialogs
com.github.AndroidDeveloperLB.MaterialPreferenceLibrary.5,com/lb/material_preferences_library
com.github.bumptech.glide.okhttp-integration.1.4.0,com/bumptech/glide/integration/okhttp
com.github.chrisbanes.PhotoView.1.2.6,uk/co/senab/photoview
com.github.chrisbanes.photoview.library.1.2.3,uk/co/senab/photoview
com.github.chrisbanes.photoview.library.1.2.4,uk/co/senab/photoview
com.github.clans.fab.1.5.0,com/github/clans/fab
com.github.curioustechizen.android-ago.library.1.3.1,com/github/curioustechizen/ago
com.github.DASAR.ShiftColorPicker.v0.5,uz/shift/colorpicker
com.github.dmfs.color-picker.c3b3b52033dc0b33bd831e731ec6f74fb1e8a69a,org/dmfs/android/colorpicker
com.github.gabrielemariotti.changeloglib.changelog.2.1.0,it/gmariotti/changelibs/library
com.github.ganfra.material-spinner.1.1.0,fr/ganfra/materialspinner
com.github.johnkil.android-appmsg.appmsg.1.2.0,com/devspark/appmsg
com.github.lzyzsd.circleprogress.1.1.0,com/github/lzyzsd/circleprogress
com.github.medyo.fancybuttons.1.5,mehdi/sakout/fancybuttons
com.github.mrengineer13.snackbar.1.2.0,com/github/mrengineer13/snackbar
com.github.navasmdc.MaterialDesign.1.4,com/gc/materialdesign
com.github.nirhart.parallaxscroll.1.0,com/nirhart/parallaxscroll/views
com.github.orhanobut.logger.1.12,com/orhanobut/logger
com.github.paolorotolo.appintro.3.2.0,com/github/paolorotolo/appintro
com.github.paolorotolo.appintro.3.4.0,com/github/paolorotolo/appintro
com.github.rey5137.material.1.2.2,com/rey/material
com.github.yukuku.ambilwarna.2.0.1,yuku/ambilwarna
com.google.android.exoplayer.exoplayer.r1.5.5,com/google/android/exoplayer
com.google.android.exoplayer.exoplayer.r1.5.7,com/google/android/exoplayer
com.greysonparrelli.permiso.permiso.0.1.3,com/greysonparrelli/permiso
com.iangclifton.android.floatlabel.1.0.1,com/iangclifton/android/floatlabel
com.inkapplications.viewpageindicator.library.2.4.3,com/viewpagerindicator
com.jakewharton.butterknife.8.0.1,com/jakewharton/butterknife
com.jakewharton.timber.timber.4.1.1,timber/log
com.jaredrummler.android-processes.1.0.3,com/jaredrummler/android/processes
com.jenzz.materialpreference.1.3,com/jenzz/materialpreference
com.jjoe64.graphview.4.0.1,com/jjoe64/graphview
com.joanzapata.iconify.android-iconify.2.2.1,com/joanzapata/iconify
com.joanzapata.iconify.android-iconify-material-community.2.2.1,com/joanzapata/iconify/fonts
com.journeyapps.zxing-android-embedded.3.0.2,com/google/zxing-android-embedded
com.journeyapps.zxing-android-embedded.3.0.3,com/google/zxing-android-embedded
com.jpardogo.googleprogressbar.library.1.2.0,com/jpardogo/android/googleprogressbar/library
com.jpardogo.materialtabstrip.library.1.0.6,com/astuetz
com.jpardogo.materialtabstrip.library.1.1.0,com/astuetz
com.koushikdutta.async.androidasync.2.1.7,com/koushikdutta/async
com.koushikdutta.async.androidasync.2.1.9,com/koushikdutta/async
com.koushikdutta.ion.ion.2.1.7,com/koushikdutta/ion
com.koushikdutta.ion.ion.2.1.9,com/koushikdutta/ion
com.larswerkman.HoloColorPicker.1.5,com/larswerkman/holocolorpicker
com.makeramen.roundedimageview.1.5.0,com/makeramen
com.mcxiaoke.volley.library.1.0.19,com/android/volley
